,Status
2025_12_04_1415-MBS-ASK101.4-2000A-8R1,OK
2025_12_04_1506-Celsa-ALO_8030_K-2000A-8R1,OK
2025_12_05_1020-Redur-13A1030.3ffp-2000A-8R1,OK
2025_12_05_1057-Redur-13A1030.3ffp-2000A-0R0,OK
2025_12_05_1356-Celsa-ALO_10030-2000A-1R35,OK
2025_12_10_1122-Celsa-ALO_12070_K-3000A-10R8,OK
2025_12_10_1302-Celsa-ALO_12070-3000A-10R8,OK
2025_12_10_1402-Celsa-ALO_12070-3000A-10R8-L2_0,OK
2025_12_11_0912-Celsa-ALO_10030-2500A-1R35,OK
2025_12_10_1533-Celsa-ALO_10050_K-2500A-2R8,OK
2025_12_11_0812-Celsa-ALO_10030-2500A-1R35,OK
2025_12_11_1000-Celsa-ALO_12070-3000A-0R0,OK
2025_12_12_1406-Celsa-ALO_20060-5000A-0R0,OK
2025_12_15_0812-Celsa-ALO_E_16050_K-5000A-0R0,OK
2025_12_15_0912-Redur-20A1456.5vffp-5000A-0R0,OK
2025_12_16_0812-Celsa-ALO_12070_K-4000A-0R0,OK
2025_12_16_1020-Celsa-ALO_12070-4000A-0R0,OK
2025_12_08_0856-Celsa-ALO_10030-2000A-1R35,OK
2025_12_08_1026-Celsa-ALO_8030_K-2000A-8R1,OK
2025_12_08_1121-MBS-ASK101.4-2000A-8R1,OK
2025_12_08_1219-Redur-13A1030.3ffp-2000A-8R1,OK
2025_12_08_1305-Redur-13A1030.3ffp-2000A-0R0,OK
2025_12_09_1030-Celsa-ALO_12070-3000A-10R8,OK
2025_12_09_1332-Celsa-ALO_10050_K-2500A-2R8,OK
2025_12_09_1535-Celsa-ALO_10030-2500A-1R35,OK
2025_12_10_1009-Celsa-ALO_12070_K-3000A-10R8,OK
2025_12_11_1500-Redur-20A1456.5vffp-5000A-8R1,OK
2025_12_12_0820-MBS-ASK129.10-5000A-10R8,OK
2025_12_12_1020-Celsa-ALO_E_16050_K-5000A-0R0,OK
2025_12_12_1206-Celsa-ALO_20060-5000A-0R0,OK
2025_12_16_1140-Celsa-ALO_12070-4000A-0R0,OK
2026_01_07-Messstrecke-4000A-0R0,OK
2025-12-16-1315-Celsa-ALO_12070_K-4000A-0R0,
2025_12_16_1315-Celsa-ALO_12070_K-4000A-0R0,OK
